# airline	from	to	codeshare	stops	equipment
# Date: 2011-01-20
0D	FCO	LUG		0	S20
0D	FCO	RMI		0	S20
0D	FOG	MXP		0	S20
0D	FOG	PMO		0	S20
0D	FOG	TRN		0	S20
0D	GVA	LUG		0	S20
0D	LUG	FCO		0	S20
0D	LUG	GVA		0	S20
0D	MXP	FOG		0	S20
0D	PMO	FOG		0	S20
0D	RMI	FCO		0	S20
0D	TRN	FOG		0	S20
2E	HOM	SOV		0	CNC
2E	PGM	SOV		0	CNC
2E	SOV	HOM		0	CNC
2E	SOV	PGM		0	CNC
2I	ANS	LIM		0	141
2I	AQP	CUZ		0	141
2I	AQP	JUL		0	142
2I	AQP	LIM		0	142
2I	AYP	LIM		0	141 142
2I	CIX	LIM		0	142
2I	CIX	TRU		0	142
2I	CUZ	AQP		0	141
2I	CUZ	JUL		0	141
2I	CUZ	LIM		0	141 142
2I	CUZ	PEM		0	142
2I	CUZ	RBR		0	141
2I	HUU	LIM		0	142 141
2I	IQT	PCL		0	143
2I	IQT	TPP		0	143
2I	JUL	AQP		0	142
2I	JUL	CUZ		0	141
2I	LIM	ANS		0	141
2I	LIM	AQP		0	142
2I	LIM	AYP		0	142 141
2I	LIM	CIX		0	142
2I	LIM	CUZ		0	141 142
2I	LIM	HUU		0	141 142
2I	LIM	PCL		0	143
2I	LIM	TPP		0	143
2I	LIM	TRU		0	142 141
2I	PCL	IQT		0	143
2I	PCL	LIM		0	143
2I	PCL	TPP		0	143
2I	PEM	CUZ		0	142
2I	RBR	CUZ		0	141
2I	TPP	IQT		0	143
2I	TPP	LIM		0	143
2I	TPP	PCL		0	143
2I	TRU	CIX		0	142
2I	TRU	LIM		0	142 141
2J	ABJ	BOY		0	CRJ
2J	ABJ	NIM		0	M87
2J	ABJ	OUA		0	M87
2J	ACC	OUA		0	CRJ M87
2J	BKO	DKR		0	M87
2J	BKO	ORY		0	321
2J	BKO	OUA		0	CRJ M87
2J	BOY	ABJ		0	CRJ
2J	BOY	OUA		0	CRJ
2J	COO	DLA		0	M87
2J	COO	LBV		0	M87
2J	COO	NIM		0	CRJ
2J	COO	OUA		0	M87
2J	DKR	BKO		0	M87
2J	DKR	OUA		0	M87
2J	DLA	COO		0	M87
2J	LBV	COO		0	M87
2J	LFW	OUA		0	CRJ
2J	NIM	ABJ		0	M87
2J	NIM	COO		0	CRJ
2J	NIM	OUA		0	M87 CRJ
2J	ORY	OUA		0	321
2J	OUA	ABJ		0	M87
2J	OUA	ACC		0	CRJ M87
2J	OUA	BKO		0	CRJ M87 321
2J	OUA	BOY		0	CRJ
2J	OUA	COO		0	M87
2J	OUA	DKR		0	M87
2J	OUA	LFW		0	CRJ
2J	OUA	NIM		0	M87 CRJ
2K	BOG	UIO		0	320 757 733
2K	CUE	UIO		0	732 733
