"135 Airways",\N,"","GNL","GENERAL","United States"
"1Time Airline",\N,"1T","RNX","NEXTIME","South Africa"
"1time",\N,\N,\N,\N,\N
"213 Flight Unit",\N,"","TFU","","Russia"
"223 Flight Unit State Airline",\N,"","CHD","CHKALOVSK-AVIA","Russia"
"224th Flight Unit",\N,"","TTF","CARGO UNIT","Russia"
"247 Jet Ltd",\N,"","TWF","CLOUD RUNNER","United Kingdom"
"2 Sqn No 1 Elementary Flying Training School",\N,"","WYT","","United Kingdom"
"3D Aviation",\N,"","SEC","SECUREX","United States"
"40-Mile Air",\N,"Q5","MLA","MILE-AIR","United States"
"4D Air",\N,"","QRT","QUARTET","Thailand"
"611897 Alberta Limited",\N,"","THD","DONUT","Canada"
"84 Squadron Royal Air Force @ RAF Akrotiri",\N,"","AKG","GRIFTER","United Kingdom"
"A2 Jet Leasing",\N,"","AJJ","ATLANTIC JET","United States"
"AA",\N,\N,\N,\N,\N
"AASANA",\N,"","XXV","","Bolivia"
"Aba Air",\N,"","ABP","BAIR","Czech Republic"
"Ababeel Aviation",\N,"","BBE","BABEL AIR","Sudan"
"Abacus International",\N,"1B","","","Singapore"
"Abaeté Linhas Aéreas",\N,"","ABJ","Abaeté","Brazil"
"Abakan-Avia",\N,"","ABG","ABAKAN-AVIA","Russia"
"Aban Air",\N,"K5","ABE","ABAN","Iran"
"Abas",\N,"","MRP","ABAS","Czech Republic"
"ABC Aerolineas",\N,"","AIJ","ABC AEROLINEAS","Mexico"
"ABC Air Hungary",\N,"","AHU","ABC HUNGARY","Hungary"
"ABC Bedarsflug",\N,"","FTY","FLY TYROL","Austria"
"Abelag Aviation",\N,"W9","AAB","ABG","Belgium"
"Abicar",\N,"","ADJ","ABICAR","Ivory Coast"
"Aboitiz Air",\N,"","BOI","ABAIR","Philippines"
"ABSA - Aerolinhas Brasileiras",\N,"M3","TUS","ABSA Cargo","Brazil"
"Abu Dhabi Amiri Flight",\N,"MO","AUH","SULTAN","United Arab Emirates"
"ABX Air",\N,"GB","ABX","ABEX","United States"
"ACA-Ancargo Air Sociedade de Transporte de Carga Lda",\N,"","NCL","ANCARGO AIR","Angola"
"Academy Airlines",\N,"","ACD","ACADEMY","United States"
"Access Air",\N,"ZA","CYD","CYCLONE","United States"
"AC Challenge Aero",\N,"","CHG","SKY CHALLENGER","Ukraine"
"ACEF",\N,"","CFM","ACEF","Portugal"
"ACES Colombia",\N,"VX","AES","ACES","Colombia"
"AC Insat-Aero",\N,"","IAE","","Russia"
"ACM Air Charter",\N,"","BVR","BAVARIAN","Germany"
"ACM Aviation",\N,"","BJT","BAY JET","United States"
"ACT Havayollari",\N,"","RUN","CARGO TURK","Turkey"
