"Goroka","Goroka","Papua New Guinea","GKA","AYGA",145.391881,-6.081689,5282,10,"U"
"Madang","Madang","Papua New Guinea","MAG","AYMD",145.7887,-5.207083,20,10,"U"
"Mount Hagen","Mount Hagen","Papua New Guinea","HGU","AYMH",144.295861,-5.826789,5388,10,"U"
"Nadzab","Nadzab","Papua New Guinea","LAE","AYNZ",146.726242,-6.569828,239,10,"U"
"Port Moresby Jacksons Intl","Port Moresby","Papua New Guinea","POM","AYPY",147.22005,-9.443383,146,10,"U"
"Wewak Intl","Wewak","Papua New Guinea","WWK","AYWK",143.669186,-3.583828,19,10,"U"
"Narsarsuaq","Narssarssuaq","Greenland","UAK","BGBW",-45.425978,61.160517,112,-3,"E"
"Nuuk","Godthaab","Greenland","GOH","BGGH",-51.678064,64.190922,283,-3,"E"
"Sondre Stromfjord","Sondrestrom","Greenland","SFJ","BGSF",-50.689325,67.016969,165,-3,"E"
"Thule Air Base","Thule","Greenland","THU","BGTL",-68.703161,76.531203,251,-4,"E"
"Akureyri","Akureyri","Iceland","AEY","BIAR",-18.072703,65.659994,6,0,"N"
"Egilsstadir","Egilsstadir","Iceland","EGS","BIEG",-14.401389,65.283333,76,0,"N"
"Hornafjordur","Hofn","Iceland","HFN","BIHN",-15.227222,64.295556,24,0,"N"
"Husavik","Husavik","Iceland","HZK","BIHU",-17.425978,65.952328,48,0,"N"
"Isafjordur","Isafjordur","Iceland","IFJ","BIIS",-23.135278,66.058056,8,0,"N"
"Keflavik Nas","Keflavik","Iceland","KEF","BIKF",-22.605556,63.985,171,0,"N"
"Patreksfjordur","Patreksfjordur","Iceland","PFJ","BIPA",-23.965,65.555833,11,0,"N"
"Reykjavik","Reykjavik","Iceland","RKV","BIRK",-21.940556,64.13,48,0,"N"
"Siglufjordur","Siglufjordur","Iceland","SIJ","BISI",-18.916667,66.133333,10,0,"N"
"Vestmannaeyjar","Vestmannaeyjar","Iceland","VEY","BIVM",-20.278875,63.424303,326,0,"N"
"Sault Ste Marie","Sault Sainte Marie","Canada","YAM","CYAM",-84.509445,46.485001,630,-5,"A"
"Winnipeg St Andrews","Winnipeg","Canada","YAV","CYAV",-97.0325,50.056389,760,-6,"A"
"Shearwater","Halifax","Canada","YAW","CYAW",-63.499444,44.639721,167,-4,"A"
"St Anthony","St. Anthony","Canada","YAY","CYAY",-56.083056,51.391944,108,-4,"A"
"Tofino","Tofino","Canada","YAZ","CYAZ",-125.7725,49.082222,80,-8,"A"
"Kugaaruk","Pelly Bay","Canada","YBB","CYBB",-89.808056,68.534444,56,-6,"A"
"Baie Comeau","Baie Comeau","Canada","YBC","CYBC",-68.204444,49.1325,71,-5,"A"
"Bagotville","Bagotville","Canada","YBG","CYBG",-70.996391,48.330555,522,-5,"A"
"Baker Lake","Baker Lake","Canada","YBK","CYBK",-96.077778,64.298889,59,-6,"A"
"Campbell River","Campbell River","Canada","YBL","CYBL",-125.270833,49.950832,346,-8,"A"
"Brandon Muni","Brandon","Canada","YBR","CYBR",-99.951944,49.91,1343,-6,"A"
"Cambridge Bay","Cambridge Bay","Canada","YCB","CYCB",-105.138333,69.108055,90,-7,"A"
"Nanaimo","Nanaimo","Canada","YCD","CYCD",-123.870167,49.052333,93,-8,"A"
"Castlegar","Castlegar","Canada","YCG","CYCG",-117.6325,49.296389,1624,-8,"A"
"Miramichi","Chatham","Canada","YCH","CYCH",-65.449167,47.007778,108,-4,"A"
"Charlo","Charlo","Canada","YCL","CYCL",-66.330278,47.990833,132,-4,"A"
"Kugluktuk","Coppermine","Canada","YCO","CYCO",-115.143889,67.816667,74,-7,"A"
"Coronation","Coronation","Canada","YCT","CYCT",-111.445278,52.075001,2595,-7,"A"
"Chilliwack","Chilliwack","Canada","YCW","CYCW",-121.93889,49.152779,32,-8,"A"
"Clyde River","Clyde River","Canada","YCY","CYCY",-68.516667,70.486111,87,-5,"A"
"Fairmont Hot Springs","Coral Harbour","Canada","YZS","CYCZ",-115.873333,50.330278,2661,-7,"A"
"Dawson City","Dawson","Canada","YDA","CYDA",-139.127778,64.043056,1215,-8,"A"
"Burwash","Burwash","Canada","YDB","CYDB",-139.040556,61.371111,2647,-8,"A"
"Princeton","Princeton","Canada","YDC","CYDC",-120.511389,49.468056,2298,-8,"A"
"Deer Lake","Deer Lake","Canada","YDF","CYDF",-57.391388,49.210833,72,-4,"A"
"Dease Lake","Dease Lake","Canada","YDL","CYDL",-130.032222,58.422222,2600,-8,"A"
"Dauphin Barker","Dauphin","Canada","YDN","CYDN",-100.0525,51.100834,999,-6,"A"
"Dawson Creek","Dawson Creek","Canada","YDQ","CYDQ",-120.183,55.742333,2148,-7,"A"
"Edmonton Intl","Edmonton","Canada","YEG","CYEG",-113.579722,53.309723,2373,-7,"A"
"Arviat","Eskimo Point","Canada","YEK","CYEK",-94.070833,61.094166,32,-6,"A"
"Estevan","Estevan","Canada","YEN","CYEN",-102.965833,49.210278,1905,-6,"A"
"Edson","Edson","Canada","YET","CYET",-116.465,53.578888,3041,-7,"A"
"Eureka","Eureka","Canada","YEU","CYEU",-85.814167,79.994722,256,-6,"A"
"Inuvik Mike Zubko","Inuvik","Canada","YEV","CYEV",-133.482778,68.304167,224,-7,"A"
"Iqaluit","Iqaluit","Canada","YFB","CYFB",-68.555832,63.75639,110,-5,"A"
"Fredericton","Fredericton","Canada","YFC","CYFC",-66.537222,45.868889,68,-4,"A"
"Forestville","Forestville","Canada","","CYFE",-69.097222,48.746111,293,-5,"A"
"Flin Flon","Flin Flon","Canada","YFO","CYFO",-101.681667,54.678055,997,-6,"A"
"Fort Resolution","Fort Resolution","Canada","YFR","CYFR",-113.689722,61.180832,526,-7,"A"
"Fort Simpson","Fort Simpson","Canada","YFS","CYFS",-121.236525,61.760153,555,-7,"A"
"Kingston","Kingston","Canada","YGK","CYGK",-76.596944,44.225277,305,-5,"A"
"La Grande Riviere","La Grande Riviere","Canada","YGL","CYGL",-77.704167,53.625278,639,-5,"A"
"Gaspe","Gaspe","Canada","YGP","CYGP",-64.478611,48.775278,108,-5,"A"
"Geraldton Greenstone Regional","Geraldton","Canada","YGQ","CYGQ",-86.939445,49.778332,1144,-5,"A"
"Iles De La Madeleine","Iles De La Madeleine","Canada","YGR","CYGR",-61.778056,47.424721,35,-4,"A"
"Hudson Bay","Hudson Bay","Canada","YHB","CYHB",-102.31139,52.816666,1175,-6,"A"
"Dryden Rgnl","Dryden","Canada","YHD","CYHD",-92.744167,49.831667,1354,-6,"A"
"Ulukhaktok Holman","Holman Island","Canada","YHI","CYHI",-117.806111,70.762778,117,-7,"A"
"Gjoa Haven","Gjoa Haven","Canada","YHK","CYHK",-95.849722,68.635556,152,-6,"A"
"Hamilton","Hamilton","Canada","YHM","CYHM",-79.935,43.173611,780,-5,"A"
"St Hubert","Montreal","Canada","YHU","CYHU",-73.416944,45.5175,90,-5,"A"
"Hay River","Hay River","Canada","YHY","CYHY",-115.782778,60.839722,543,-7,"A"
"Halifax Intl","Halifax","Canada","YHZ","CYHZ",-63.50861,44.880833,477,-4,"A"
"Atikokan Muni","Atikokan","Canada","YIB","CYIB",-91.638611,48.773888,1408,-6,"A"
