# airline	from	to	codeshare	stops	equipment
# Date: 2010-08-20
0B	AGP	BBU		0	738
0B	ARW	BBU		0	340
0B	BBU	AGP		0	738
0B	BBU	ARW		0	340
0B	BBU	BCN		0	738
0B	BBU	BGY		0	733
0B	BBU	BLQ		0	735
0B	BBU	BRU		0	738 733
0B	BBU	BVA		0	738 734 733
0B	BBU	CLJ		0	340
0B	BBU	CND		0	738
0B	BBU	CTA		0	738
0B	BBU	CUF		0	738 734
0B	BBU	DUB		0	734 738
0B	BBU	FCO		0	738 734
0B	BBU	LCA		0	738 734
0B	BBU	LIS		0	738 734
0B	BBU	LTN		0	738
0B	BBU	MAD		0	738
0B	BBU	NAP		0	733
0B	BBU	NCE		0	738
0B	BBU	SKG		0	734 738
0B	BBU	STR		0	738 733
0B	BBU	TSR		0	340
0B	BBU	VIE		0	735
0B	BBU	VLC		0	738
0B	BCM	BGY		0	734
0B	BCM	BLQ		0	734
0B	BCM	BVA		0	733 738
0B	BCM	CUF		0	734
0B	BCM	FCO		0	734
0B	BCM	LTN		0	734
0B	BCN	BBU		0	738
0B	BGY	BBU		0	733
0B	BGY	BCM		0	734
0B	BGY	LCA		0	734
0B	BLQ	BBU		0	735
0B	BLQ	BCM		0	734
0B	BRU	BBU		0	738 733
0B	BRU	CND		0	738
0B	BVA	BBU		0	738 734 733
0B	BVA	BCM		0	733 738
0B	CGN	SBZ		0	733
0B	CLJ	BBU		0	340
0B	CND	BBU		0	738
0B	CND	BRU		0	738
0B	CTA	BBU		0	738
0B	CUF	BBU		0	738 734
0B	CUF	BCM		0	734
0B	DUB	BBU		0	734 738
0B	FCO	BBU		0	738 734
0B	FCO	BCM		0	734
0B	FCO	BKK	*	0	763
0B	LCA	BBU		0	738 734
0B	LCA	BGY		0	734
0B	LCA	VIE		0	734
0B	LCA	WAW		0	734
0B	LIS	BBU		0	738 734
0B	LTN	BBU		0	738
0B	LTN	BCM		0	734
0B	LTN	SBZ		0	733
0B	MAD	BBU		0	738
0B	MAD	SBZ		0	733
0B	NAP	BBU		0	733
0B	NCE	BBU		0	738
0B	PFO	SKG		0	734 738
0B	SBZ	CGN		0	733
0B	SBZ	LTN		0	733
0B	SBZ	MAD		0	733
0B	SBZ	STR		0	733
0B	SBZ	VLC		0	733
0B	SKG	BBU		0	734 738
0B	SKG	PFO		0	734 738
0B	STR	BBU		0	738 733
0B	STR	SBZ		0	733
0B	TSR	BBU		0	340
0B	VIE	BBU		0	735
0B	VIE	LCA		0	734
0B	VLC	BBU		0	738
0B	VLC	SBZ		0	733
0B	WAW	LCA		0	734
0D	BRN	PMI		0	S20
0D	CAG	LUG		0	S20
0D	FCO	RMI		0	S20
0D	FOG	MXP		0	S20
0D	FOG	PMO		0	S20
0D	FOG	TRN		0	S20
0D	GVA	LUG		0	S20
0D	LMP	LUG		0	S20
0D	LUG	CAG		0	S20
0D	LUG	GVA		0	S20
0D	LUG	OLB		0	S20
0D	LUG	PNL		0	S20
0D	LUG	RMI		0	S20
0D	MXP	FOG		0	S20
0D	OLB	LUG		0	S20
0D	PMI	BRN		0	S20
0D	PMO	FOG		0	S20
0D	PNL	LMP		0	S20
0D	RMI	FCO		0	S20
0D	RMI	LUG		0	S20
0D	TRN	FOG		0	S20
2B	BAH	DAC		0	320
2B	BAH	JED		0	320
2B	DXB	BAH		0	320
2B	KWI	BAH		0	319
2B	NJF	BAH		0	319
2B	RUH	BAH		0	320
2E	HOM	SOV		0	CNC
2E	PGM	SOV		0	CNC
2E	SOV	HOM		0	CNC
2E	SOV	PGM		0	CNC
2I	AYP	LIM		0	141
2I	CIX	LIM		0	141
2I	CUZ	LIM		0	142 141
2I	CUZ	PEM		0	142
2I	HUU	LIM		0	142
2I	IQT	LIM		0	142
2I	IQT	PCL		0	143
2I	IQT	TPP		0	143
2I	LIM	AYP		0	141
2I	LIM	CUZ		0	142 141
2I	LIM	HUU		0	142
2I	LIM	IQT		0	142
2I	LIM	PCL		0	143
2I	LIM	TPP		0	143
2I	LIM	TRU		0	141
2I	PCL	IQT		0	143
2I	PCL	LIM		0	143
2I	PCL	TPP		0	143
2I	PEM	CUZ		0	142
2I	TPP	IQT		0	143
2I	TPP	LIM		0	143
2I	TPP	PCL		0	143
2I	TRU	CIX		0	141
2J	ABJ	BOY		0	CRJ M87
2J	ABJ	NIM		0	M87
2J	ABJ	OUA		0	CRJ M87
2J	ACC	OUA		0	CRJ
2J	BKO	DKR		0	M87 M83
2J	BKO	OUA		0	M87 CRJ
2J	BOY	ABJ		0	CRJ
2J	BOY	OUA		0	CRJ M87
2J	COO	LBV		0	M87
2J	COO	LFW		0	M87
2J	COO	OUA		0	M87 CRJ
2J	DKR	BKO		0	M87
2J	DKR	OUA		0	M87
2J	LBV	COO		0	M87
2J	LFW	COO		0	CRJ
2J	LFW	OUA		0	M87
2J	MRS	ORY		0	M83
2J	MRS	OUA		0	M83
2J	NIM	ABJ		0	M87
2J	NIM	OUA		0	CRJ M87
2J	ORY	MRS		0	M83
2J	OUA	ABJ		0	M87
2J	OUA	ACC		0	CRJ
2J	OUA	BKO		0	M87 CRJ M83
2J	OUA	BOY		0	CRJ
2J	OUA	COO		0	M87
2J	OUA	DKR		0	M87
2J	OUA	LFW		0	CRJ
2J	OUA	MRS		0	M83
2J	OUA	NIM		0	CRJ M87
2K	BOG	CLO	*	0	320 100
2K	BOG	MDE	*	0	M83 F50
2K	BOG	UIO		0	732
2K	BOG	UIO	*	0	319 757
2K	CLO	BOG	*	0	320
2K	CUE	GYE		0	732
2K	CUE	UIO		0	733
2K	GPS	GYE		0	752 732
2K	GPS	UIO		0	732
2K	GYE	CUE		0	732
2K	GYE	GPS		0	752 732
2K	GYE	UIO		0	732
2K	MDE	BOG	*	0	F50 320
2K	MEC	UIO		0	732
2K	UIO	BOG		0	732
2K	UIO	BOG	*	0	319 757
2K	UIO	CUE		0	733
2K	UIO	GYE		0	732 752
2K	UIO	MEC		0	732
2L	BDS	ZRH		0	100
2L	OLB	ZRH		0	100
2L	PUY	ZRH		0	100
2L	RJK	PUY		0	100
2L	RLG	ZRH		0	100
2L	SUF	ZRH		0	100
2L	ZRH	BDS		0	100
2L	ZRH	OLB		0	100
2L	ZRH	RJK		0	100
2L	ZRH	RLG		0	100
2L	ZRH	SUF		0	100
2M	BUD	KIV		0	S20
2M	KIV	BUD		0	S20
2M	KIV	TSR	*	0	100
2M	TSR	KIV	*	0	100
2N	AJR	LYC		0	ATP
2N	ARN	GEV		0	ATP
2N	ARN	HFS		0	BEH
2N	ARN	KRF		0	ATP
2N	ARN	LYC		0	ATP
2N	ARN	MXX		0	BEH
2N	ARN	VHM		0	SF3
2N	BMA	OSD		0	SF3
2N	CPH	LPI		0	SF3
2N	EVG	MXX		0	BEH
2N	GEV	ARN		0	ATP
2N	GEV	KRF		0	ATP
2N	HFS	ARN		0	BEH
2N	HFS	TYF		0	BEH
2N	HMV	VHM		0	SF3
2N	KRF	ARN		0	ATP
2N	KRF	GEV		0	ATP
2N	LLA	UME		0	SF3
2N	LPI	CPH		0	SF3
2N	LPI	ORB		0	SF3
2N	LYC	AJR		0	ATP
2N	LYC	ARN		0	ATP
2N	MXX	ARN		0	BEH
2N	MXX	EVG		0	BEH
2N	ORB	LPI		0	SF3
2N	OSD	BMA		0	SF3
2N	OSD	TRD		0	SF3
2N	OSD	UME		0	SF3
2N	TRD	OSD		0	SF3
2N	TYF	HFS		0	BEH
2N	UME	LLA		0	SF3
2N	UME	OSD		0	SF3
2N	VHM	ARN		0	SF3
2N	VHM	HMV		0	SF3
2O	ADQ	AOS		0	BNI
2O	ADQ	KLN		0	BNI
2O	ADQ	KOZ		0	BNI
2O	KLN	KYK		0	BNI
2O	KOZ	ORI		0	BNI
2P	BCD	CEB		0	DH4
2P	BCD	MNL		0	320
2P	CEB	BCD		0	DH4
2P	CEB	CGY		0	DH4
2P	CEB	ILO		0	DH4
2P	CEB	MNL		0	320
2P	CEB	MPH		0	DH3
2P	CEB	TAC		0	DH4
2P	CGY	CEB		0	DH4
2P	CGY	MNL		0	320
2P	CRM	MNL		0	DH4
2P	CYP	MNL		0	DH4
2P	DVO	MNL		0	320
2P	ILO	CEB		0	DH4
2P	ILO	MNL		0	320
2P	KLO	MNL		0	DH4
2P	MBT	MNL		0	DH3
2P	MNL	BCD		0	320
2P	MNL	CEB		0	320
2P	MNL	CGY		0	320
2P	MNL	CRM		0	DH4
2P	MNL	CYP		0	DH4
2P	MNL	DVO		0	320
2P	MNL	ILO		0	320
2P	MNL	KLO		0	DH4
2P	MNL	MBT		0	DH3
2P	MNL	MPH		0	DH3
2P	MNL	OMC		0	DH4
2P	MNL	PPS		0	320
2P	MNL	SJI		0	DH4
2P	MNL	SUG		0	DH4
2P	MNL	TUG		0	DH4
2P	MNL	USU		0	DH4
2P	MNL	WNP		0	DH4
2P	MPH	CEB		0	DH3
2P	MPH	MNL		0	DH3
2P	OMC	MNL		0	DH4
2P	PPS	MNL		0	320
2P	PPS	USU		0	DH4
2P	SJI	MNL		0	DH4
2P	SUG	MNL		0	DH4
2P	TAC	CEB		0	DH4
2P	TUG	MNL		0	DH4
2P	USU	MNL		0	DH4
2P	USU	PPS		0	DH4
2P	WNP	MNL		0	DH4
2Q	AGH	BMA		0	AT7
2Q	AGH	VBY		0	SF3
2Q	BMA	AGH		0	AT7
2Q	BMA	KLR		0	SF3
2Q	BMA	OSD		0	S20
2Q	BMA	RNB		0	S20
2Q	BMA	SDL		0	S20
2Q	BMA	VBY		0	SF3 AT7 S20
2Q	BMA	VXO		0	SF3
2Q	CPH	RNN		0	SF3
2Q	GSE	VBY		0	AT7
2Q	HAM	VBY		0	S20
2Q	KLR	BMA		0	SF3
2Q	NYO	VBY		0	SF3
2Q	OSD	BMA		0	S20
2Q	RNB	BMA		0	S20
2Q	RNN	CPH		0	SF3
2Q	SDL	BMA		0	S20
2Q	VBY	AGH		0	SF3
2Q	VBY	BMA		0	SF3 AT7 S20
2Q	VBY	GSE		0	AT7
2Q	VBY	HAM		0	S20
2Q	VBY	NYO		0	SF3
2Q	VXO	BMA		0	SF3
2T	BEN	TIP		0	722
2T	SEB	TIP		0	722
2T	TIP	BEN		0	722
2T	TIP	SEB		0	722
2T	TIP	TOB		0	722
2U	AMS	TLV		0	757
2U	ATH	TLV		0	738
2U	BCN	TLV		0	757
2U	BTS	TLV		0	757
2U	CDG	AMS		0	757
2U	CDG	TLV		0	757
2U	DME	TLV		0	73G
2U	DUS	TLV		0	73G
2U	FCO	TLV		0	757
2U	FRA	TLV		0	757
2U	MSQ	TLV		0	738
2U	MUC	TLV		0	738
2U	MXP	TLV	*	0	738
2U	TLV	AMS		0	757
2U	TLV	ATH		0	738 757
2U	TLV	BCN		0	757
2U	TLV	BTS		0	757
2U	TLV	CDG		0	757 738
2U	TLV	DME		0	73G
2U	TLV	DUS		0	73G
2U	TLV	FCO		0	757
2U	TLV	FRA		0	757
2U	TLV	MSQ		0	738
2U	TLV	MUC		0	738
2U	TLV	MXP	*	0	738
2U	TLV	VRN		0	757
2U	TLV	WAW		0	757
2U	TLV	ZAG		0	757
2U	VRN	TLV		0	757
2U	WAW	TLV		0	757
2U	ZAG	TLV		0	757 738
2W	CGN	GRZ		0	D38
2W	CGN	INN		0	D38
2W	GOT	HAJ		0	D38
2W	GRZ	CGN		0	D38
2W	GRZ	HAJ		0	D38
2W	GRZ	INN		0	D38
2W	HAJ	GOT		0	D38
2W	HAJ	GRZ		0	D38
2W	HAJ	INN		0	D38
2W	INN	CGN		0	D38
2W	INN	GRZ		0	D38
2W	INN	HAJ		0	D38
2W	INN	NCE		0	D38
2W	NCE	INN		0	D38
2W	NCE	OLB		0	D38
2W	OLB	NCE		0	D38
3B	BRQ	ZAD		0	SF3
3B	OSR	VIE		0	SF3
3B	OSR	ZAD		0	SF3
3B	VIE	OSR		0	SF3
3B	ZAD	BRQ		0	SF3
3B	ZAD	OSR		0	SF3
3E	BRL	ORD		0	CNC
3E	BRL	STL		0	CNC
3E	DEC	ORD		0	CNC
3E	DEC	STL		0	CNC PA2
3E	IRK	STL		0	PA2
3E	ORD	BRL		0	CNC
3E	ORD	DEC		0	CNC
3E	STL	BRL		0	CNC
3E	STL	DEC		0	CNC PA2
3E	STL	IRK		0	PA2
3F	CGA	HYL		0	DHP
3F	CGA	KTN		0	DHP
3F	HYL	CGA		0	DHP
3F	HYL	KTN		0	DHP
3F	KTB	KTN		0	DHP
