# airline	from	to	codeshare	stops	equipment
# Date: 2009-12-07
0B	AGP	BBU		0	733
0B	ARW	BBU		0	733
0B	ARW	VLC		0	733
0B	ARW	VRN		0	733
0B	BBU	AGP		0	733
0B	BBU	ARW		0	733
0B	BBU	BCN		0	733
0B	BBU	BGY		0	733
0B	BBU	BLQ		0	733
0B	BBU	BRU		0	733
0B	BBU	BVA		0	733
0B	BBU	CTA		0	733
0B	BBU	CUF		0	733
0B	BBU	FCO		0	733
0B	BBU	LCA		0	733
0B	BBU	LIS		0	733
0B	BBU	LYS		0	733
0B	BBU	MAD		0	733
0B	BBU	NAP		0	733
0B	BBU	SBZ		0	733
0B	BBU	SKG		0	733
0B	BBU	SKG		2	733
0B	BBU	STN		0	733
0B	BBU	STN		1	733
0B	BBU	VLC		0	733
0B	BCM	BGY		0	733
0B	BCM	CUF		0	733
0B	BCM	FCO		0	733
0B	BCN	BBU		0	733
0B	BGY	BBU		0	733
0B	BGY	BCM		0	733
0B	BGY	NAP		0	733
0B	BLQ	BBU		0	733
0B	BRU	BBU		0	733
0B	BVA	BBU		0	733
0B	BVA	CLJ		0	733
0B	CLJ	BVA		0	733
0B	CLJ	FCO		0	733
0B	CTA	BBU		0	733
0B	CUF	BBU		0	733
0B	CUF	BCM		0	733
0B	FCO	BBU		0	733
0B	FCO	BCM		0	733
0B	FCO	CLJ		0	733
0B	LCA	BBU		0	733
0B	LIS	BBU		0	733
0B	LYS	BBU		0	733
0B	MAD	BBU		0	733
0B	MAD	BBU		1	733
0B	MAD	SBZ		0	733
0B	NAP	BBU		0	733
0B	NAP	BGY		0	733
0B	PFO	SKG		0	733
0B	SBZ	BBU		0	733
0B	SBZ	MAD		0	733
0B	SBZ	STN		0	733
0B	SBZ	STN		2	733
0B	SBZ	STR		0	733
0B	SCV	VIE		0	733
0B	SKG	BBU		0	733
0B	SKG	PFO		0	733
0B	STN	BBU		0	733
0B	STN	BBU		1	733
0B	STN	SBZ		0	733
0B	STR	SBZ		0	733
0B	VIE	SCV		0	733
0B	VLC	ARW		0	733
0B	VLC	BBU		0	733
0B	VRN	ARW		0	733
0D	FCO	LUG		0	S20
0D	FOG	MXP		0	S20
0D	FOG	PMO		0	S20
0D	FOG	TRN		0	S20
0D	GVA	LUG		0	S20
0D	LUG	FCO		0	S20
0D	LUG	GVA		0	S20
0D	MXP	FOG		0	S20
0D	PMO	FOG		0	S20
0D	TRN	FOG		0	S20
2B	ALP	BAH		0	320
2B	ALY	BAH		0	320
2B	AMM	BAH		0	320
2B	AUH	BAH		0	320
2B	BAH	ALP		0	320
2B	BAH	ALY		0	320
2B	BAH	AMM		0	320
2B	BAH	AUH		0	320
2B	BAH	BEY		0	320
2B	BAH	BGW		0	320
2B	BAH	BOM		0	320
2B	BAH	CCJ		0	320
2B	BAH	COK		0	320
2B	BAH	DAM		0	320
2B	BAH	DOH		0	320
2B	BAH	DXB		0	320
2B	BAH	JED		0	320
2B	BAH	KRT		0	320
2B	BAH	KTM		0	320
2B	BAH	KWI		0	320
2B	BAH	MHD		0	320
2B	BAH	NJF		0	320
2B	BAH	RUH		0	320
2B	BEY	BAH		0	320
2B	BGW	BAH		0	320
2B	BOM	BAH		0	320
2B	CCJ	BAH		0	320
2B	COK	BAH		0	320
2B	DAM	BAH		0	320
2B	DOH	BAH		0	320
2B	DXB	BAH		0	320
2B	DXB	KRT		0	320
2B	JED	BAH		0	320
2B	KRT	BAH		0	320
2B	KRT	DXB		0	320
2B	KTM	BAH		0	320
2B	KWI	BAH		0	320
2B	MHD	BAH		0	320
2B	NJF	BAH		0	320
2B	RUH	BAH		0	320
2E	HOM	SOV		0	CNC
2E	PGM	SOV		0	CNC
2E	SOV	HOM		0	CNC
2E	SOV	PGM		0	CNC
2I	AYP	LIM		0	141
2I	CIX	LIM		0	142
2I	CJA	LIM		0	141
2I	CUZ	LIM		0	737 141
2I	CUZ	PEM		0	737
2I	IQT	PCL		0	142 143
2I	IQT	TPP		0	143
2I	LIM	AYP		0	141
2I	LIM	CJA		0	141
2I	LIM	CUZ		0	737 141
2I	LIM	PCL		0	142 143
2I	LIM	TPP		0	143
2I	LIM	TRU		0	142
2I	PCL	IQT		0	142 143
2I	PCL	LIM		0	142 143
2I	PEM	CUZ		0	737
2I	TPP	IQT		0	143
2I	TPP	LIM		0	143
2I	TRU	CIX		0	142
2J	ABJ	ACC		0	M87
2J	ABJ	BOY		0	M87
2J	ABJ	OUA		0	M87
2J	ACC	ABJ		0	M87
2J	ACC	OUA		0	M87
2J	BKO	DKR		0	M87
2J	BKO	OUA		0	M87
2J	BOY	ABJ		0	M87
2J	BOY	OUA		0	M87
2J	COO	LBV		0	M87
2J	COO	LFW		0	M87
2J	COO	OUA		0	M87
2J	DKR	BKO		0	M87
2J	DKR	OUA		0	M87
2J	LBV	COO		0	M87
2J	LBV	PNR		0	M87
2J	LFW	OUA		0	M87
2J	MRS	ORY		0	M83
2J	MRS	OUA		0	M83
2J	NIM	OUA		0	M87
2J	ORY	MRS		0	M83
2J	OUA	ABJ		0	M87
2J	OUA	ACC		0	M87
2J	OUA	BKO		0	M87
2J	OUA	BOY		0	M87
2J	OUA	COO		0	M87
2J	OUA	DKR		0	M87
