,AirportID,Name,City,Country,IATA,ICA,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,MergedTz
24,26,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56,-7.0,A,America/Edmonton,airport,OurAirports,America/Cambridge_Bay
25,27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969482422,-68.20439910888672,71,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
26,28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060073852539,-70.99639892578125,522,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
27,29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889678960001,-96.077796936,59,-6.0,A,America/Winnipeg,airport,OurAirports,America/Rankin_Inlet
30,32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.13800048799999,90,-7.0,A,America/Edmonton,airport,OurAirports,America/Cambridge_Bay
33,35,Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203,108,-4.0,A,America/Halifax,airport,OurAirports,America/Moncton
34,36,Charlo Airport,Charlo,Canada,YCL,CYCL,47.990798999999996,-66.330299,132,-4.0,A,America/Halifax,airport,OurAirports,America/Moncton
35,37,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.81670379639999,-115.14399719200001,74,-7.0,A,America/Edmonton,airport,OurAirports,America/Cambridge_Bay
38,40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,-68.5167007446,87,-5.0,A,America/Toronto,airport,OurAirports,America/Iqaluit
40,42,Dawson City Airport,Dawson,Canada,YDA,CYDA,64.04309844970703,-139.12800598144528,1215,-8.0,A,America/Vancouver,airport,OurAirports,America/Whitehorse
41,43,Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110137939453,-139.04100036621094,2647,-8.0,A,America/Vancouver,airport,OurAirports,America/Whitehorse
48,50,Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.0942001343,-94.0708007812,32,-6.0,A,America/Winnipeg,airport,OurAirports,America/Rankin_Inlet
51,53,Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,-85.814201355,256,-6.0,A,America/Winnipeg,airport,OurAirports,America/Rankin_Inlet
52,54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419921880001,-133.483001709,224,-7.0,A,America/Edmonton,airport,OurAirports,America/Inuvik
53,55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756401061999995,-68.5558013916,110,-5.0,A,America/Toronto,airport,OurAirports,America/Iqaluit
54,56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.86890029907226,-66.53720092773439,68,-4.0,A,America/Halifax,airport,OurAirports,America/Moncton
